title,varcd,geo_lastlevel,last_period_available,last_update,periodicity,update_type
Agregados fiscais (N.º),0012742,Município,S7A2022,2024-07-15,Anual,D
Azeite produzido (hl),0000709,Região agrária,S7A2023,2024-07-13,Anual,D
Doutoradas/os (N.º),0012622,NUTS III,7A2023_3,2024-07-12,Anual,D
Praias com bandeira azul (N.º),0008951,Região hidrográfica,S7A2024,2024-07-11,Anual,D
Rendimento bruto declarado por sujeito passivo (€),0012748,Freguesia,S7A2022,2024-07-10,Anual,D
Valor mediano do rendimento bruto declarado deduzido do IRS liquidado por sujeito passivo (€),0012757,Freguesia,S7A2022,2024-07-10,Anual,D
Águas balneares (N.º),0013292,Município,S7A2023,2024-07-10,Anual,D
Estabelecimentos de alojamento turístico (N.º),0013284,Município,S7A2023,2024-07-08,Anual,D
Taxa líquida de ocupação cama (%) nos estabelecimentos de alojamento turístico,0013288,Município,S7A2023,2024-07-08,Anual,D
Dormidas (N.º) nos estabelecimentos de alojamento turístico,0009183,Município,S7A2023,2024-07-08,Anual,D
Valor médio das pensões da segurança social (€/ N.º),0004347,Total,S7A2023,2024-07-04,Anual,D
Taxa de sobrecarga das despesas em habitação (%),0006260,NUTS II,S7A2023,2024-07-04,Anual,D
Taxa de sobrelotação da habitação (%),0006261,NUTS II,S7A2023,2024-07-04,Anual,D
Pensionistas da segurança social em 31 dezembro (N.º),0004325,Total,S7A2023,2024-07-04,Anual,D
Despesas em prestações da proteção social (€),0002016,Portugal,S7A2022,2024-06-29,Anual,D
Despesas da proteção social (€),0002015,Portugal,S7A2022,2024-06-29,Anual,D
Alunas/os matriculadas/os no ensino não superior (N.º),0012424,Município,7A2023_3,2024-06-29,Anual,D
Receitas da proteção social (€),0002014,Portugal,S7A2022,2024-06-29,Anual,D
Receitas da proteção social (% do PIBpm - Base 2016),0009890,Portugal,S7A2022,2024-06-28,Anual,D
Despesas da proteção social (% do PIBpm - Base 2016),0009891,Portugal,S7A2022,2024-06-28,Anual,D
Cidades (N.º),0013217,Município,S7A2023,2024-06-27,Anual,D
Vilas (N.º),0013221,Município,S7A2023,2024-06-27,Anual,D
População residente em cidades (N.º),0013216,Município,S7A2018,2024-06-27,Não periódica,D
Desigualdade na distribuição de rendimentos S80/S20 (N.º),0004213,Portugal,S7A2022,2024-06-27,Anual,D
Freguesias (N.º),0013218,Município,S7A2023,2024-06-27,Anual,D
Taxa de risco de pobreza (Após transferências sociais - %),0005382,Portugal,S7A2022,2024-06-27,Anual,D
Coeficiente de Gini do rendimento monetário líquido por adulto equivalente (%),0004212,NUTS II,S7A2022,2024-06-26,Anual,D
Despesa em investigação e desenvolvimento (I&D - €) das instituições e empresas com investigação e desenvolvimento,0008080,Município,S7A2022,2024-06-26,Anual,D
Proporção de pessoal ao serviço equivalente a tempo integral (ETI) em atividades de investigação e desenvolvimento (I&D) (‰) na população ativa,0009713,NUTS II,S7A2022,2024-06-26,Anual,D
Proporção da despesa em investigação e desenvolvimento (I&D) no PIB (Base 2016 - %),0010084,NUTS III,S7A2022,2024-06-26,Anual,D
Investigadoras/es equivalente a tempo integral (ETI) por 1000 habitantes (N.º) nas instituições e empresas com investigação e desenvolvimento,0009853,Município,S7A2022,2024-06-26,Anual,D
"Beneficiárias/os de pensões dos regimes de proteção social na velhice e sobrevivência, sem duplas contagens (N.º)",0007517,Total,S7A2022,2024-06-26,Anual,D
"Despesa em investigação e desenvolvimento (I&D) executada pelo Estado, ensino superior e instituições privadas sem fins lucrativos financiada por fundos de empresas nacionais e estrangeiras (€)",0009114,NUTS II,S7A2022,2024-06-26,Anual,D
Proporção de investigadoras/es equivalente a tempo integral (ETI) (%) na população ativa,0002792,NUTS II,S7A2022,2024-06-26,Anual,D
Despesas da proteção social em pensões (€),0004769,Portugal,S7A2022,2024-06-26,Anual,D
Consumo de combustível automóvel por habitante (tep/ hab.),0008158,Município,S7A2022,2024-06-24,Anual,D
Consumo de gás natural (Nm³),0008286,Município,S7A2022,2024-06-24,Anual,D
Consumo de energia elétrica na indústria por consumidor (kWh/ cons.),0008227,Município,S7A2022,2024-06-24,Anual,D
Consumo doméstico de energia elétrica por consumidor (kWh/ cons.),0008225,Município,S7A2022,2024-06-24,Anual,D
Consumidores de energia elétrica (N.º),0008223,Município,S7A2022,2024-06-24,Anual,D
Proporção da população residente em risco de pobreza ou exclusão social (Europa 2030) (%),0011685,NUTS II,S7A2023,2024-06-24,Anual,D
Taxa de privação material e social severa (%),0011594,NUTS II,S7A2023,2024-06-24,Anual,D
Compras através de Terminais de Pagamento Automático por habitante (€),0012726,Município,S7A2023,2024-06-21,Anual,D
Caixas Automáticos Multibanco por 10 000 habitantes (N.º),0012723,Município,S7A2023,2024-06-21,Anual,D
Levantamentos nacionais em Caixas Automáticos Multibanco por habitante (€),0012725,Município,S7A2023,2024-06-21,Anual,D
Operações em Caixas Automáticos Multibanco por habitante (N.º),0012724,Município,S7A2023,2024-06-21,Anual,D
Percentagem do orçamento de Estado financiado por impostos cobrados internamente (%),0010003,Portugal,S7A2024,2024-06-21,Anual,D
Superfície (km²) das unidades territoriais,0011866,Freguesia,S7A2023,2024-06-20,Anual,D
Densidade populacional (N.º/ km²),0013189,Município,S7A2023,2024-06-19,Anual,D
Partos (N.º),0013168,NUTS II,S7A2023,2024-06-19,Anual,D
"População residente (Série longa, início 1991 - N.º)",0000256,NUTS II,S7A2023,2024-06-18,Anual,D
Taxa bruta de mortalidade (‰),0008265,Município,S7A2023,2024-06-18,Anual,D
Índice de envelhecimento (N.º),0008258,Município,S7A2023,2024-06-18,Anual,D
Índice de potencialidade (N.º),0008266,Município,S7A2023,2024-06-18,Anual,D
População residente (N.º),0008273,Município,S7A2023,2024-06-18,Anual,D
Índice de envelhecimento (N.º),0012909,Município,S7A2023,2024-06-18,Anual,D
Índice de longevidade (N.º),0008260,Município,S7A2023,2024-06-18,Anual,D
Índice de dependência de jovens (N.º),0008255,Município,S7A2023,2024-06-18,Anual,D
Índice de dependência de idosos (N.º),0012910,Município,S7A2023,2024-06-18,Anual,D
Taxa bruta de natalidade (‰),0013044,Município,S7A2023,2024-06-18,Anual,D
Índice de dependência de idosos (N.º),0008259,Município,S7A2023,2024-06-18,Anual,D
Índice de renovação da população em idade ativa (N.º),0008267,Município,S7A2023,2024-06-18,Anual,D
"População residente (Série longa, início 1991 - N.º)",0012903,NUTS II,S7A2023,2024-06-18,Anual,D
Saldo migratório (N.º),0008269,Município,S7A2023,2024-06-18,Anual,D
Taxa bruta de natalidade (‰),0008264,Município,S7A2023,2024-06-18,Anual,D
População residente (N.º),0004163,Distrito,S7A2023,2024-06-18,Anual,D
Saldo migratório (N.º),0013179,Município,S7A2023,2024-06-18,Anual,D
Emigrantes permanentes (N.º),0006050,Portugal,S7A2023,2024-06-18,Anual,D
Despesa consolidada em ambiente (€) dos organismos de administração pública,0002726,Portugal,S7A2022,2024-06-13,Anual,D
Taxa de mortalidade por tumores malignos (‰),0013164,Município,S7A2022,2024-06-05,Anual,D
Sessões de cinema (N.º),0005367,Portugal,S7A2023,2024-05-31,Anual,D
Recintos de cinema (N.º),0005365,Portugal,S7A2023,2024-05-31,Anual,D
Espetadores de cinema (N.º),0005368,Portugal,S7A2023,2024-05-31,Anual,D
Reclusas/os condenadas/os existentes em 31 de dezembro (N.º) nos estabelecimentos prisionais,0000852,Portugal,S7A2023,2024-05-31,Anual,D
Índice de preços de produtos agrícolas no produtor (Base - 2015),0009865,Portugal,S3A202403,2024-05-30,Mensal,D
Denúncias da linha SOS ambiente e território (N.º) do Serviço de Proteção da Natureza e do Ambiente,0008944,Portugal,S7A2023,2024-05-28,Anual,D
Capturas nominais de pescado (t),0001073,Porto principal,S7A2023,2024-05-23,Anual,D
Depósitos de clientes (€) nos estabelecimentos de outra intermediação monetária,0013049,Município,S7A2022,2024-05-17,Anual,D
Crédito concedido (€) por estabelecimentos de outra intermediação monetária,0013050,Município,S7A2022,2024-05-17,Anual,D
Estabelecimentos de outra intermediação monetária por 10 000 habitantes (N.º),0013047,Município,S7A2022,2024-05-17,Anual,D
Crédito à habitação por habitante (€),0013048,Município,S7A2022,2024-05-17,Anual,D
Nados-vivos (N.º),0008234,Freguesia,S7A2023,2024-04-30,Anual,D
Nados-vivos de mães adolescentes (N.º),0001541,Portugal,S7A2023,2024-04-30,Anual,D
Tribunais administrativos e fiscais (N.º),0008040,Portugal,S7A2023,2024-04-30,Anual,D
Acidentes de trabalho (N.º),0006893,Portugal,S7A2021,2024-04-25,Anual,D
Acidentes de trabalho mortais (N.º),0006897,Portugal,S7A2021,2024-04-25,Anual,D
Hospitais (N.º),0012885,Município,S7A2022,2024-04-06,Anual,D
Camas (lotação praticada) nos hospitais por 1000 habitantes (N.º),0012889,Município,S7A2022,2024-04-06,Anual,D
Internamentos (N.º) nos hospitais,0012862,Município,S7A2022,2024-04-05,Anual,D
Camas (N.º) dos hospitais,0012859,Município,S7A2022,2024-04-05,Anual,D
Produção vinícola declarada em mosto (hl) pelos produtores,0008236,Município,S7A2023,2024-03-28,Anual,D
Novos contratos de arrendamento de alojamentos familiares (N.º),0012601,Freguesia,S7A2023,2024-03-28,Anual,D
Valor mediano das rendas por m2 de novos contratos de arrendamento de alojamentos familiares (€),0012600,Freguesia,S7A2023,2024-03-28,Anual,D
Crimes registados (N.º) pelas autoridades policiais,0012261,Município,S7A2023,2024-03-28,Anual,D
Produção vinícola declarada em vinho (hl) pelos produtores,0012835,Município,S7A2023,2024-03-28,Anual,D
População residente (N.º),0012295,Freguesia,S7A2021,2024-03-19,Decenal,D
Edifícios (N.º),0012576,Freguesia,S7A2021,2024-03-19,Decenal,D
Taxa de analfabetismo (%),0012273,Freguesia,S7A2021,2024-03-19,Decenal,D
Taxa de desemprego (%),0012328,Freguesia,S7A2021,2024-03-19,Decenal,D
População residente (N.º),0012276,Freguesia,S7A2021,2024-03-19,Decenal,D
Agregados domésticos privados (N.º) nos alojamentos de residência habitual,0012468,Freguesia,S7A2021,2024-03-19,Decenal,D
Densidade de alojamentos (N.º/ km²),0012514,Freguesia,S7A2021,2024-03-19,Decenal,D
Alojamentos familiares clássicos (N.º),0012502,Freguesia,S7A2021,2024-03-19,Decenal,D
Consumo de energia elétrica (kWh),0008222,Município,S7A2022,2024-03-15,Anual,D
Contribuição das energias renováveis para o consumo final de eletricidade (%),0007273,Portugal,S7A2022,2024-03-15,Anual,D
Bens imóveis culturais (N.º),0012764,Município,S7A2023,2024-03-07,Anual,D
Praticantes de futebol inscritos na Federação Portuguesa de Futebol (N.º),0008036,Distrito,S7A2022,2024-03-06,Anual,D
Praticantes inscritos (N.º) em federações desportivas,0001122,Portugal,S7A2022,2024-03-05,Anual,D
Embaixadores/as (N.º),0004191,Portugal,S7A2023,2024-02-23,Anual,D
Alunas/os inscritas/os no ensino superior (N.º),0012590,Município,7A2023_3,2024-02-21,Anual,D
Índice de preços no consumidor (Ponderador IPC - Base 2012),0008348,Portugal,S7A2024,2024-02-12,Anual,D
Índice de custo de construção de habitação nova (Base - 2015),0009755,Portugal,S3A202212,2024-01-23,Mensal,D
Índice de custo de construção de habitação nova (Taxa de variação média anual - Base 2015 - %),0009758,Portugal,S3A202212,2024-01-23,Mensal,D
Passageiros transportados (N.º) pelas empresas exploradoras de transporte terrestre,0007963,NUTS II,S7A2022,2024-01-15,Anual,D
Consumo humano de vinho per capita (l/ hab.),0000178,Portugal,7A2023_3,2023-12-22,Anual,D
"Volume de negócios (€) das empresas de comércio, manutenção e reparação de veículos automóveis e motociclos",0006441,Portugal,S7A2022,2023-12-20,Anual,D
"Volume de negócios (€) das empresas de comércio por grosso, exceto de veículos automóveis e motociclos",0006442,Portugal,S7A2022,2023-12-20,Anual,D
Empresas maioritariamente estrangeiras (N.º),0007105,Portugal,S7A2022,2023-12-19,Anual,D
Proporção do valor acrescentado bruto das empresas maioritariamente estrangeiras (%),0007123,Portugal,S7A2022,2023-12-19,Anual,D
Prestações de serviços em atividades de estudos de mercado e sondagens de opinião (€) das empresas,0006843,Portugal,S7A2022,2023-12-18,Anual,D
Prestações de serviços em atividades jurídicas (€) das empresas,0006838,Portugal,S7A2022,2023-12-18,Anual,D
"Prestações de serviços em atividades de arquitetura, engenharia e técnicas afins (€) das empresas",0006840,Portugal,S7A2022,2023-12-18,Anual,D
Custo de suportes publicitários (€) das Empresas,0006846,Portugal,S7A2022,2023-12-18,Anual,D
"Prestações de serviços em atividades de contabilidade, auditoria e consultoria (€) das empresas",0006839,Portugal,S7A2022,2023-12-18,Anual,D
Prestações de serviços em atividades informáticas e conexas (€) das empresas,0006837,Portugal,S7A2022,2023-12-18,Anual,D
Prestações de serviços em atividades de emprego (€) das empresas,0006844,Portugal,S7A2022,2023-12-18,Anual,D
Prestações de serviços em atividades de publicidade (€) das empresas,0006842,Portugal,S7A2022,2023-12-18,Anual,D
Prestações de serviços em atividades de ensaios e análises técnicas (€) das empresas,0006841,Portugal,S7A2022,2023-12-18,Anual,D
Valor acrescentado bruto (€) das Empresas,0008514,Município,S7A2022,2023-12-15,Anual,D
Taxa de sobrevivência (%) das Empresas nascidas 2 anos antes,0008646,NUTS III,S7A2022,2023-12-15,Anual,D
Produção (€) das Empresas,0008475,NUTS III,S7A2022,2023-12-15,Anual,D
Taxa de natalidade (%) das empresas,0008643,NUTS III,S7A2022,2023-12-15,Anual,D
Valor acrescentado bruto (€) das Empresas,0008485,NUTS III,S7A2022,2023-12-15,Anual,D
Taxa de valor acrescentado bruto (%) das empresas,0008550,NUTS III,S7A2022,2023-12-15,Anual,D
Nascimentos (N.º) de empresas,0008642,NUTS III,S7A2022,2023-12-15,Anual,D
Empresas (N.º),0008466,NUTS III,S7A2022,2023-12-15,Anual,D
